BODEGA;NOMBRE TIENDA;FECHA RECEPCION;N DOC TPV;GUIA ENVIO CD;GUIA CIERRE TIENDA;BODEGA ORIGEN;FECHA GUIA ENVIO;CANT ENVIADA;CANT RECEP TPV;CANT RECEP TIENDA;FALTANTE CON GUIA;SOBRANTE CON GUIA;SOBRANTE SIN GUIA;DIFERENCIA NETA;ESTADO
BTIE045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1902;;270004034;SIN GUIA SAP;;0;1;0;0;0;1;-1;SIN GUIA SAP - VERIFICAR ORIGEN
BTRT005;TIENDA TBC MALL VIVO CENTRO;02-05-2026;80;20044030;70002126;BBCE900;30-04-2026;17;17;17;0;0;0;0;OK
BTRT005;TIENDA TBC MALL VIVO CENTRO;02-05-2026;81;20044037;70002127;BBCE900;30-04-2026;68;68;68;0;0;0;0;OK
BTRT005;TIENDA TBC MALL VIVO CENTRO;02-05-2026;82;20044028;70002128;BBCE900;30-04-2026;6;6;6;0;0;0;0;OK
BTRT005;TIENDA TBC MALL VIVO CENTRO;02-05-2026;83;20044029;70002129;BBCE900;30-04-2026;11;11;11;0;0;0;0;OK
BTRT009;TIENDA TBC MALL PLAZA NORTE;02-05-2026;2453;20044040;150002719;BBCE900;30-04-2026;136;144;135;1;9;0;-8;REVISAR - FALTANTE Y SOBRANTE CON GUIA
BTRT044;TIENDA TBC MALL ARAUCO CORONEL;02-05-2026;1321;20043741;250003966;BBCE900;27-04-2026;46;46;46;0;0;0;0;OK
BTRT044;TIENDA TBC MALL ARAUCO CORONEL;02-05-2026;1325;20043724;250003970;BBCE900;27-04-2026;32;32;32;0;0;0;0;OK
BTRT044;TIENDA TBC MALL ARAUCO CORONEL;02-05-2026;1326;20043721;250003967;BBCE900;27-04-2026;34;34;34;0;0;0;0;OK
BTRT044;TIENDA TBC MALL ARAUCO CORONEL;02-05-2026;1331;20043708;250003971;BBCE900;27-04-2026;21;21;21;0;0;0;0;OK
BTRT044;TIENDA TBC MALL ARAUCO CORONEL;02-05-2026;1332;20043853;250003969;BBCE900;28-04-2026;26;26;26;0;0;0;0;OK
BTRT044;TIENDA TBC MALL ARAUCO CORONEL;02-05-2026;1333;20043891;250003968;BBCE900;28-04-2026;19;19;19;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1896;20043637;270004028;BBCE900;24-04-2026;35;35;35;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1897;20043830;270004029;BBCE900;28-04-2026;50;50;50;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1898;20043876;270004030;BBCE900;28-04-2026;4;4;4;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1899;20043569;270004031;BBCE900;24-04-2026;1;1;1;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1900;20043856;270004032;BBCE900;28-04-2026;50;50;50;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1901;20043873;270004033;BBCE900;28-04-2026;46;46;46;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1902;20043855;270004034;BBCE900;28-04-2026;25;24;24;1;0;0;1;REPORTAR - FALTANTE
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1903;20043840;270004035;BBCE900;28-04-2026;49;49;49;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1904;20043828;270004036;BBCE900;28-04-2026;48;48;48;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1905;20043916;270004037;BBCE900;28-04-2026;50;50;50;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;02-05-2026;1906;20043622;270004038;BBCE900;24-04-2026;400;400;400;0;0;0;0;OK
BTRT053;TIENDA TBC OUTLET MAIPU PATIO;02-05-2026;761;20044045;270004027;BBCE900;30-04-2026;168;168;168;0;0;0;0;OK
BTRT007;TIENDA TBC MALL ARAUCO ESTACION;03-05-2026;2484;20044013;130004494;BBCE900;29-04-2026;266;266;266;0;0;0;0;OK
BTRT007;TIENDA TBC MALL ARAUCO ESTACION;03-05-2026;2485;20043995;130004495;BBCE900;29-04-2026;29;29;29;0;0;0;0;OK
BTRT007;TIENDA TBC MALL ARAUCO ESTACION;03-05-2026;2486;20043955;130004496;BBCE900;29-04-2026;4;4;4;0;0;0;0;OK
BTRT007;TIENDA TBC MALL ARAUCO ESTACION;03-05-2026;2487;20043949;130004497;BBCE900;29-04-2026;26;26;26;0;0;0;0;OK
BTRT007;TIENDA TBC MALL ARAUCO ESTACION;03-05-2026;2488;20043956;130004498;BBCE900;29-04-2026;1;1;1;0;0;0;0;OK
BTRT044;TIENDA TBC MALL ARAUCO CORONEL;03-05-2026;1322;20043742;250003972;BBCE900;27-04-2026;57;57;57;0;0;0;0;OK
BTRT044;TIENDA TBC MALL ARAUCO CORONEL;03-05-2026;1324;20043726;250003973;BBCE900;27-04-2026;46;46;46;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;03-05-2026;1907;20043843;270004039;BBCE900;28-04-2026;47;47;47;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;03-05-2026;1908;20043872;270004040;BBCE900;28-04-2026;88;88;88;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;03-05-2026;1909;20043829;270004041;BBCE900;28-04-2026;54;54;54;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;03-05-2026;1910;20043917;270004042;BBCE900;28-04-2026;45;45;45;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;03-05-2026;1911;20043913;270004043;BBCE900;28-04-2026;48;48;48;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;03-05-2026;1912;20043831;270004044;BBCE900;28-04-2026;50;50;50;0;0;0;0;OK
BTRT002;TIENDA TBC OUTLET LA FABRICA PATIO;04-05-2026;852;20044036;60003370;BBCE900;30-04-2026;216;216;216;0;0;0;0;OK
BTRT006;TIENDA TBC MALL ARAUCO MAIPU;04-05-2026;1769;20044027;30002728;BBCE900;30-04-2026;5;5;5;0;0;0;0;OK
BTRT006;TIENDA TBC MALL ARAUCO MAIPU;04-05-2026;1770;20044038;30002729;BBCE900;30-04-2026;224;224;223;1;1;0;0;REVISAR - FALTANTE Y SOBRANTE CON GUIA
BTRT007;TIENDA TBC MALL ARAUCO ESTACION;04-05-2026;2489;20044039;130004499;BBCE900;30-04-2026;176;176;176;0;0;0;0;OK
BTRT007;TIENDA TBC MALL ARAUCO ESTACION;04-05-2026;2490;20044019;130004500;BBCE900;29-04-2026;7;7;7;0;0;0;0;OK
BTRT019;TIENDA OUTLET TBC EASTON;04-05-2026;3744;20044041;230004155;BBCE900;30-04-2026;192;192;191;1;1;0;0;REVISAR - FALTANTE Y SOBRANTE CON GUIA
BTRT041;TIENDA TBC VIÑA ESPACIO URBANO;04-05-2026;1767;20043997;250003974;BBCE900;29-04-2026;3;3;3;0;0;0;0;OK
BTRT041;TIENDA TBC VIÑA ESPACIO URBANO;04-05-2026;1768;20044018;250003975;BBCE900;29-04-2026;133;133;133;0;0;0;0;OK
BTRT041;TIENDA TBC VIÑA ESPACIO URBANO;04-05-2026;1769;20043975;250003976;BBCE900;29-04-2026;8;8;8;0;0;0;0;OK
BTRT041;TIENDA TBC VIÑA ESPACIO URBANO;04-05-2026;1770;20044042;250003977;BBCE900;30-04-2026;68;68;68;0;0;0;0;OK
BTRT044;TIENDA TBC MALL ARAUCO CORONEL;04-05-2026;1328;20043718;250003978;BBCE900;27-04-2026;24;24;24;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;04-05-2026;1913;20044017;270004045;BBCE900;29-04-2026;133;133;129;4;4;0;0;REVISAR - FALTANTE Y SOBRANTE CON GUIA
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;04-05-2026;1914;20043950;270004046;BBCE900;29-04-2026;12;12;12;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;04-05-2026;1915;20043959;270004047;BBCE900;29-04-2026;28;28;28;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;04-05-2026;1916;20043951;270004048;BBCE900;29-04-2026;14;14;14;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;04-05-2026;1917;20043961;270004049;BBCE900;29-04-2026;5;5;4;1;1;0;0;REVISAR - FALTANTE Y SOBRANTE CON GUIA
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;04-05-2026;1918;20043957;270004050;BBCE900;29-04-2026;10;10;10;0;0;0;0;OK
BTRT045;TIENDA TBC PATIO OUTLET TEMUCO;04-05-2026;1919;20043958;270004052;BBCE900;29-04-2026;22;22;22;0;0;0;0;OK
BTRT062;TIENDA OUTLET VIVO PUENTE ALTO;04-05-2026;75;20044049;270004053;BBCE900;30-04-2026;123;123;123;0;0;0;0;OK
BTRT062;TIENDA OUTLET VIVO PUENTE ALTO;04-05-2026;76;20044050;270004051;BBCE900;30-04-2026;1;1;1;0;0;0;0;OK
BTIE053;TIENDA TBC OUTLET MAIPU PATIO;05-05-2026;762;;270004058;SIN GUIA SAP;;0;0;0;0;0;0;0;SIN GUIA SAP - VERIFICAR ORIGEN
BTRT002;TIENDA TBC OUTLET LA FABRICA PATIO;05-05-2026;853;20044103;60003371;BBCE900;04-05-2026;342;342;342;0;0;0;0;OK
BTRT005;TIENDA TBC MALL VIVO CENTRO;05-05-2026;84;20044080;70002130;BBCE900;04-05-2026;171;171;163;8;8;0;0;REVISAR - FALTANTE Y SOBRANTE CON GUIA
BTRT005;TIENDA TBC MALL VIVO CENTRO;05-05-2026;85;20044074;70002131;BBCE900;04-05-2026;288;288;288;0;0;0;0;OK
BTRT006;TIENDA TBC MALL ARAUCO MAIPU;05-05-2026;1771;20044120;30002730;BBCE900;04-05-2026;171;169;161;10;8;0;2;REVISAR - FALTANTE Y SOBRANTE CON GUIA
BTRT006;TIENDA TBC MALL ARAUCO MAIPU;05-05-2026;1773;20044076;30002731;BBCE900;04-05-2026;16;16;16;0;0;0;0;OK
BTRT007;TIENDA TBC MALL ARAUCO ESTACION;05-05-2026;2491;20044079;130004502;BBCE900;04-05-2026;576;574;572;4;2;0;2;REVISAR - FALTANTE Y SOBRANTE CON GUIA
